no,kode_usul,nama_cabang,initial,aktif,alasan
001,KC-JTG,KC Jatinegara,JTG,TRUE,"Prefix ""KC"" dari master"
002,KC-MGD,KC Mangga Dua,MGD,TRUE,"Prefix ""KC"" dari master"
003,KC-SMH,KC Samanhudi,SMH,TRUE,"Prefix ""KC"" dari master"
004,KC-STR,KC Sunter,STR,TRUE,"Prefix ""KC"" dari master"
005,KC-DHA,KC Surabaya,DHA,TRUE,"Prefix ""KC"" dari master"
006,KCP-KNR,KCP Kenari,KNR,TRUE,"Prefix ""KCP"" dari master"
007,KCP-BKS,KCP Bekasi,BKS,TRUE,"Prefix ""KCP"" dari master"
008,KCP-KLG,KCP Kelapa gading,KLG,TRUE,"Prefix ""KCP"" dari master"
009,ULS-TNA,ULS Tanah Abang,TNA,TRUE,"Prefix ""ULS"" dari master"
010,ULS-DEP,ULS Margonda Depok,DEP,TRUE,"Prefix ""ULS"" dari master"
011,ULS-DAR,ULS Darmo Surabaya,DAR,TRUE,"Prefix ""ULS"" dari master"
012,ULS-PDI,ULS Metro Pondok Indah,PDI,TRUE,"Prefix ""ULS"" dari master"
013,ULS-TGR,ULS Tangerang,TGR,TRUE,"Prefix ""ULS"" dari master"
014,ULS-BGR,ULS Bogor,BGR,TRUE,"Prefix ""ULS"" dari master"
015,ULS-VET,ULS Veteran Surabaya,VET,TRUE,"Prefix ""ULS"" dari master"
016,ULS-SDA,ULS Sidoarjo,SDA,TRUE,"Prefix ""ULS"" dari master"
017,ULS-PSM,ULS Pasar Minggu,PSM,TRUE,"Prefix ""ULS"" dari master"
018,ULS-CMS,ULS Cimanggis,CMS,TRUE,"Prefix ""ULS"" dari master"
019,ULS-TPK,ULS Tanjung Priok,TPK,TRUE,"Prefix ""ULS"" dari master"
020,ULS-KKP,ULS Kapas Krampung,KKP,TRUE,"Prefix ""ULS"" dari master"
021,ULS-PDC,ULS Pondok Chandra,PDC,TRUE,"Prefix ""ULS"" dari master"
022,ULS-SPG,ULS Sepanjang,SPG,TRUE,"Prefix ""ULS"" dari master"
023,ULS-MLW,ULS Melawai,MLW,TRUE,"Prefix ""ULS"" dari master"
024,ULS-GDP,ULS Gudang Peluru,GDP,TRUE,"Prefix ""ULS"" dari master"
025,ULS-KMM,ULS Kemang Mansion,KMM,TRUE,"Prefix ""ULS"" dari master"
026,KCP-MKJ,KCP Kranji Bekasi,MKJ,TRUE,"Prefix ""KCP"" dari master"
027,KCP-MAB,KCP Ps. Anyar Bogor,MAB,TRUE,"Prefix ""KCP"" dari master"
028,KCP-MCL,KCP Ciledug Tangerang,MCL,TRUE,"Prefix ""KCP"" dari master"
029,ULS-PER,ULS Perak Barat (Pucang Anom),PER,TRUE,"Prefix ""ULS"" dari master"
030,KC-SMG,KC Semarang,SMG,TRUE,"Prefix ""KC"" dari master"
031,ULS-JDB,ULS Juanda Bekasi,JDB,TRUE,"Prefix ""ULS"" dari master"
