kode_usul,kodeCabang,nama_usul,initial,tipe,jumlah_kemunculan,keyakinan,alasan
,080,,ARC,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,064,,ARV,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,059,,BBT,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,067,,BDA,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,035,,BDG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,066,,BDL,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
ULS-BGR,014,ULS-BGR,BGR,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
,073,,BIR,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,007,,BKS,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,065,,BTR,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,051,,BTU,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
KCP-BWI,076,KCP-BWI,BWI,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
,077,,CMH,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,018,,CMS,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,081,,CRB,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,049,,DAG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
ULS-DAR,011,ULS-DAR,DAR,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
,010,,DEP,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
KC-DHA,005,KC-DHA,DHA,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
,032,,GDG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,024,,GDP,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,033,,GSI,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
ULS-JDB,031,ULS-JDB,JDB,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
,001,,JTG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,054,,KBP,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,068,,KDR,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
ULS-KDS,056,ULS-KDS,KDS,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
ULS-KKP,020,ULS-KKP,KKP,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
,008,,KLG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,025,,KMM,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,006,,KNR,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,063,,KPJ,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,072,,LSW,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,027,,MAB,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,044,,MCI,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
ULS-MCL,028,ULS-MCL,MCL,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
,042,,MCP,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,040,,MCS,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,050,,MDN,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,043,,MDP,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,002,,MGD,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,062,,MJK,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,034,,MJP,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,026,,MKJ,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
